stop_id,score,address,latitude,longitude
ST-2871,5.561175218057742,서울특별시 강서구 강서구 마곡동 798,37.559746,126.824387
ST-202,5.535622345385667,서울특별시 마포구 공덕동 438-5공덕역 8번출구,37.543579,126.951324
ST-1681,5.509939996393782,서울특별시 송파구 올림픽로 326 송파구청,37.515053,127.10627
ST-454,5.49395391488254,서울특별시 은평구 대조동 207-8연신내역 5번출구,37.61721,126.919579
ST-2240,5.475077175352118,서울특별시 용산구 이촌동 304-11,37.517319,126.958298
ST-481,5.462520221362114,서울특별시 은평구 서오릉로 163LG서비스 역촌점,37.612484,126.914879
ST-919,5.385976802463519,서울특별시 구로구 경인로 445구로구 고척동 63-3,37.499889,126.867699
ST-479,5.381162057176696,서울특별시 은평구 역촌동 45-34역촌파출소,37.604736,126.915337
ST-1186,5.3530333085344335,서울특별시 강남구 광평로 276-3,37.48735,127.102325
ST-1850,5.326184108689802,서울특별시 강동구 고덕동 299,37.556789,127.166145
ST-2137,5.230902687346295,서울특별시 강북구 도봉로 342,37.63797,127.025902
ST-1403,5.213980522491814,서울특별시 금천구 벚꽃로 309가산디지털단지 7번출구,37.481232,126.881485
ST-1357,5.204682063716016,서울특별시 관악구 신사로 132보라매공원 보도육교,37.488991,126.916382
ST-637,5.183844774361115,서울특별시 금천구 두산로 71독산동 295-22,37.47023,126.895073
ST-2574,5.175561100607361,서울특별시 송파구 올림픽로43길 88,37.52478,127.109131
ST-758,5.134940150913325,서울특별시 서초구 방배동 388-5,37.489769,126.986763
ST-1028,5.113943908595594,서울특별시 진관동 16-4상림마을 생태공원,37.644081,126.929283
ST-17,5.073367087479616,서울특별시 서대문구 통일로 483홍은사거리 앞,37.59116,126.94133
ST-1263,5.0533360851177385,서울특별시 광진구 천호대로 지하 550군자역 7번출구 뒤,37.556862,127.07914
ST-2270,5.049974928814355,서울특별시 동대문구 망우로 74,37.589687,127.061409
ST-426,4.978872369475859,서울특별시 영등포구 당산로52길 3당산육갑문,37.535339,126.903679
ST-2168,4.9500573579160925,서울특별시 마포구 동교동 155-6,37.558296,126.925385
ST-1611,4.94446192715547,서울특별시 종로구 세종대로 152 일민미술관,37.569893,126.97757
ST-3072,4.936762344965928,서울특별시 영등포구 여의대로 70 신한금융투자타워여의대로 70,37.525089,126.92408
ST-827,4.89583924484377,서울특별시 성북구 안암로 69안암로터리 버스정류장,37.582592,127.028976
ST-1239,4.874706177680825,서울특별시 구로구 오리로 지하 1154천왕역 1번 출입구 앞,37.48621,126.838821
ST-923,4.851353816122324,서울특별시 동작구 사당로 지하 310동작구 사당동 144-4,37.485508,126.981621
ST-699,4.846330477713413,서울특별시 동작구 노량진로 지하 130노량진동 60-11,37.513248,126.939972
ST-849,4.836105681065499,서울특별시 중랑구 면목로 325,37.58099,127.088242
ST-3214,4.797969556274905,서울특별시 송파구 오금로 113 석촌씨티빌딩,37.512291,127.108253
