stop_id,score
ST-999,0.0
ST-998,0.0
ST-997,0.0007422871735630517
ST-996,7.639032217638592e-05
ST-995,1.611590493478586e-05
ST-994,0.0003406742224086511
ST-993,0.0002734346156431578
ST-992,0.004026246208695276
ST-991,0.000691077925959708
ST-990,0.0022825513769827374
ST-99,0.0034121371883830826
ST-989,0.0
ST-988,0.0002672767459669332
ST-987,0.0003325731790878657
ST-986,3.4258008008310984e-06
ST-985,0.00020629028543075065
ST-984,0.0002672482994264557
ST-983,0.0003035091447860033
ST-982,0.0
ST-981,4.7701527917446496e-05
ST-980,0.0005562600434186896
ST-98,0.00020956169851767662
ST-979,0.0001218652139773959
ST-978,0.001135795351844126
ST-977,0.0016726392812533818
ST-976,0.0
ST-975,0.001152872557138736
ST-974,0.00029120572301117383
ST-973,7.702005396550886e-05
ST-972,0.000227583255702851
ST-971,0.00019258707664054897
ST-970,3.766654552596001e-05
ST-97,0.000343515760675667
ST-969,0.0
ST-968,0.00639828017570225
ST-967,0.0001030904215196972
ST-966,6.120471444375332e-05
ST-965,0.0006225593471165808
ST-964,4.6799997067534165e-05
ST-963,0.00030325823286633276
ST-962,5.2897411401389774e-05
ST-961,2.0123888764661906e-05
ST-960,8.379448093828048e-05
ST-96,0.0033696027640253957
ST-959,0.00012540171860990569
ST-958,0.00022007821471962675
ST-957,0.00041734150513379384
ST-956,0.00019449301075426443
ST-955,0.0
ST-954,7.887977521534652e-05
ST-953,0.0002467186930350791
ST-952,0.00021155899519858178
ST-951,0.00022616341216167958
ST-950,0.0004445261565382746
ST-95,0.007615787244301234
ST-949,0.0007548605830240712
ST-948,0.00015488409064070988
ST-947,0.00019229951116383576
ST-946,0.0018398599159986809
ST-945,0.0
ST-944,0.0005586735392729879
ST-943,0.000489579916993209
ST-942,0.0002963436144118129
ST-941,0.001447136100449353
ST-940,0.0
ST-94,0.007736240340938662
ST-939,0.00028315387612212246
ST-938,0.012975481788057406
ST-937,3.168468594961379e-05
ST-936,0.0010786781963273411
ST-935,0.0024720969133619044
ST-934,0.0
ST-933,0.00021143214098676057
ST-932,0.002421314561639349
ST-931,0.00019428905585546657
ST-930,8.144995153565042e-05
ST-93,0.006542308605619262
ST-929,2.7078395357997456e-05
ST-928,0.0013869350718870132
ST-927,0.0010247719404400202
ST-926,1.71038700688408e-05
ST-925,0.00016660363669764201
ST-924,0.000473732827183609
ST-923,0.001738805942213741
ST-922,0.0
ST-921,0.0
ST-920,0.00037686760836884236
ST-92,0.004017793359678032
ST-919,0.0018363501365291231
ST-918,0.0008425874609633542
ST-917,0.0
ST-916,3.166150294819057e-05
ST-915,3.272897565994322e-05
ST-914,0.00011097102017235884
ST-913,8.837427304951807e-05
ST-912,0.00011002841403746693
ST-911,0.0
ST-910,0.0005398215555933357
ST-91,0.004059242395350829
ST-909,0.0
ST-908,9.808286105379524e-05
ST-907,0.0001011996062092234
ST-906,0.00014661926028686255
ST-905,0.0001464338942426834
ST-904,0.0001989482605141972
ST-903,7.364031948436403e-05
ST-902,1.202496373618036e-05
ST-901,2.5549592389332028e-05
ST-900,9.388676525394717e-05
ST-90,0.004086636300177392
ST-9,0.00631622040053568
